Company_Name,Skills they are looking for,Number of positions
planful software india private limited,"['agile' 'ajax' 'angular js' 'asp net' 'asp.net' 'automated testing' 'c#'
 'classic asp.net' 'communication' 'css' 'css3' 'data structures'
 'design patterns' 'html5' 'it skills' 'java' 'javascript'
 'microsoft sql server' 'mvc' 'oops' 'patterns' 'performance testing'
 'react' 'scrum environment' 'software development'
 'software development life cycle' 'sql server' 'testing' 'ui' 'vue js']",6
primesoft ip solutions pvt ltd,"['aws' 'azure' 'business analysis' 'cloud' 'information technology'
 'it projects' 'it skills' 'power bi']",1
"processware systems pvt ltd.,","['c'
 'do-178b  unit testing  hardware software integration testing  c/c++ is mandatory'
 'hardware software integration testing' 'integration testing' 'it skills'
 'ldra' 'system testing' 'testing']",1
prodapt solutions private limited,"['.net' 'angular' 'apache camel' 'c#' 'cd' 'ci' 'communication' 'css'
 'debugging' 'html' 'html5' 'it skills' 'java' 'javascript'
 'microservices' 'node.js' 'oracle' 'spring boot' 'spring core'
 'typescript' 'web api']",3
progress software,"['c++' 'cloud' 'coding' 'computer science' 'css' 'html' 'it skills' 'j2ee'
 'java' 'javascript' 'jquery' 'oracle' 'performance testing' 'salesforce'
 'software development' 'testing' 'unix']",3
pronix it solutions pvt. ltd.,['aws' 'c++' 'linux' 'python' 's3 apis' 'unix' 'vmware sdk' 'vsan'],1
pubmatic,"['computer science' 'data structures' 'debugging' 'linux'
 'memory management' 'mysql' 'networking' 'performance testing'
 'shell scripting' 'software design' 'system programming'
 'troubleshooting' 'unix']",2
pwc,"['business services' 'computer science' 'consulting' 'data migration'
 'dms' 'microsoft' 'sap' 'vmware']",1
quadratyx,"['bpo' 'computer science' 'data quality' 'debugging' 'networking' 'rdbms'
 'schema' 'troubleshooting']",1
quadruple automation services pvt ltd,"['automation' 'it' 'jboss' 'jdbc' 'mca' 'mobile' 'socket programming'
 'software']",1
"qualcomm technologies, inc","[list(['automation', 'wan', 'information security', 'shell scripting', 'lan', 'agile', 'application development', 'apache'])
 list(['c++', 'quality improvement', 'data domain', 'networking', 'linux', 'architecture', 'staffing', 'technical leadership'])
 list(['computer science', 'c++', 'bluetooth', 'linux', 'architecture', 'staffing', 'debugging', 'sdlc'])
 list(['computer science', 'c++', 'data analysis', 'debugging', 'system design', 'application development', 'sdk', 'sdlc'])
 list(['computer science', 'c++', 'staffing', 'machine learning', 'embedded linux', 'system design', 'application software', 'android'])
 list(['computer science', 'c++', 'staffing', 'software development life cycle', 'firmware', 'middleware', 'object oriented programming', 'sdlc'])
 list(['computer science', 'dsp', 'c++', 'linux', 'diagnostics', 'software development', 'operating systems', 'staffing'])
 list(['computer science', 'front end', 'staffing', 'xml', 'build management', 'data structures', 'html', 'application development'])
 list(['computer science', 'graphics', 'c++', 'staffing', 'database management', 'software development life cycle', 'windows', 'object oriented programming'])
 list(['computer science', 'object oriented design', 'nosql', 'linux', 'staffing', 'django', 'javascript', 'data structures'])
 list(['computer science', 'telecom', 'c', '3g', 'assembly language', 'staffing', 'software development life cycle', 'sdlc'])
 list(['computer science', 'usage', 'networking', 'linux', 'staffing', 'ethernet', 'software development life cycle', 'object oriented programming'])
 list(['computer science', 'version control', 'git', 'linux', 'staffing', 'software development life cycle', 'sdlc', 'electronics engineering'])
 list(['graphics', 'computer science', 'c++', 'data analysis', 'debugging', 'data structures', 'sdk', 'sdlc'])
 list(['graphics', 'computer science', 'c++', 'data analysis', 'debugging', 'data structures', 'system design', 'sdk'])
 list(['graphics', 'computer science', 'c++', 'staffing', 'software development life cycle', 'windows', 'gaming', 'content development'])
 list(['gsm', 'computer science', 'data services', 'staffing', 'database management', 'software development life cycle', 'object oriented programming', 'software solutions'])
 list(['hibernate', 'linux', 'agile', 'data structures', 'scrum', 'windows', 'unit testing', 'information technology'])
 list(['performance tuning', 'wan', 'information security', 'lan', 'dns', 'voip', 'snmp', 'microsoft'])
 list(['rtos', 'computer science', 'assembly language', 'coding', 'staffing', 'computer architecture', 'software development life cycle', 'data structures'])
 list(['rtos', 'computer science', 'jtag', 'linux', 'power management', 'product design', 'scheduling', 'sdlc'])
 list(['testing'])
 list(['unix', 'computer science', 'software design', 'linux', 'staffing', 'software development life cycle', 'programming', 'information technology'])
 list(['unix', 'git', 'linux', 'staffing', 'information security', 'configuration management', 'perl', 'troubleshooting'])
 list(['unix', 'linux', 'bios', 'staffing', 'configuration management', 'information security', 'perl', 'troubleshooting'])
 list(['unix', 'linux', 'testing tools', 'information security', 'soc', 'network security', 'windows', 'android'])
 list(['unix', 'vmware', 'san', 'solaris', 'wan', 'information security', 'debugging', 'lan'])
 list(['vmware', 'front end', 'xml', 'mysql', 'data structures', 'html', 'application development', 'oracle'])
 list(['wireless', 'computer science', '3g', 'embedded linux', 'windows mobile', 'data structures', 'sdlc', 'python'])
 list(['wireless', 'computer science', 'c++', 'rrc', 'networking', 'test scripts', 'staffing', 'project management'])
 list(['wireless', 'computer science', 'network design', 'simulation', 'testing tools', 'digital signal processing', 'cdma', 'apache'])
 list(['wireless', 'gsm', 'computer science', 'c', 'staffing', 'software development life cycle', 'modem', 'object oriented programming'])]",34
quali zeal,"['cloud architecture' 'hybrid cloud' 'java' 'public cloud'
 'software testing' 'sql development' 'technical architecture'
 'test engineering']",1
qualitlabs,"['c' 'c# net' 'communication' 'java' 'selenium' 'software testing'
 'test automation' 'testing']",1
quality thought infosystems (india) private limited,"['artificial intelligence' 'cloud' 'data science' 'devops' 'django'
 'information technology' 'pop' 'training']",1
quanteon solutions llp,"['cloud' 'design development' 'emerging technologies' 'it skills'
 'life cycle' 'oracle' 'software development' 'testing']",1
quantium,"['computer science' 'data structures' 'debugging' 'javascript' 'ms sql'
 'scrum' 'stored procedures' 'test cases']",1
quest software inc.,"['active directory' 'backend' 'coding' 'debugging' 'hibernate'
 'hp data protector' 'it skills' 'java' 'javascript' 'jquery' 'linux'
 'linux server' 'ms sql' 'mssql' 'mysql' 'oracle' 'php'
 'product management' 'python' 'selenium' 'testing' 'visual studio'
 'windows' 'windows internals']",3
quixy,"['analytical' 'angular' 'c#' 'ddl' 'dml' 'object oriented programming'
 'verbal' 'written communication']",1
rackspace technology,"['docker' 'linux' 'networking' 'openstack' 'openvz' 'shell scripting'
 'swift' 'unix']",1
rapid value it services pvt ltd,"['asp net' 'asp.net' 'c# net' 'communication' 'it skills' 'mvc'
 'oops sql server' 'user support']",1
raytheon technologies,"['c++' 'it skills' 'javascript' 'linux' 'node.js' 'python'
 'software development' 'testing']",1
rcpc,"[list(['mvc 4.0', 'asp.net mvc 5', 'mvc 3.5', 'mvc 4.5', 'asp.net', '.net core'])
 list(['mvc 4.0', 'mvc 3.5', 'mvc 4.5', 'asp.net core', 'asp.net', 'mvc 5'])
 list(['web services', 'and apis', 'applications', 'troubleshooting', 'data structures', 'it skills', 'software development', 'technical documentation'])]",3
recbots,"['agile development' 'docker' 'hystrix' 'java' 'micro services'
 'microservices architecture' 'spring boot' 'web services']",1
rectras business solutions pvt ltd.,"['agile' 'application development' 'application support' 'cmmi'
 'core java' 'debugging' 'front end' 'helpdesk' 'json' 'linux' 'microsoft'
 'networking' 'production support' 'troubleshooting' 'windows' 'xml']",2
reputation,"['agile' 'ajax' 'automotive' 'healthcare' 'javascript' 'jquery'
 'manager quality assurance' 'microsoft' 'middleware' 'ooad' 'operations'
 'php' 'property management' 'rdbms' 'ruby' 'social media'
 'technical design' 'uml' 'venture capital' 'workflow']",4
reputation.com india private limited,"[list(['java', 'design patterns', 'microservices', 'algorithms', 'software engineering', 'spring'])
 list(['java', 'design patterns', 'sales engineering', 'marketing', 'algorithms', 'partnerships', 'uml', 'software engineering'])
 list(['java', 'software engineering', 'microservices'])]",3
reqolent quality labs private limited ( www.qualitlabs.com ),"['c' 'c# net' 'coding' 'core java' 'java' 'katalon studio' 'selenium'
 'software testing']",1
research lake innovation labs private limited,['css' 'django' 'html' 'javascript' 'python' 'software engineering'],1
resourceone it solutions india pvt. ltd.,"['.net' 'asp.net mvc' 'c#' 'css' 'front end' 'html' 'javascript'
 'microsoft cloud']",1
resources valley,['aws' 'azure' 'css' 'docker' 'html' 'it skills' 'mean stack' 'mern stack'],1
retail it sols private limited,"[list(['j2ee', 'communication', 'presentation', 'it skills', 'java', 'full stack'])
 list(['java', 'css', 'react framework', 'node.js', 'j2ee', 'spring', 'soap', 'spring data'])]",2
rightkey solutions,"['aws' 'azure' 'bash' 'gcp' 'it skills' 'java' 'javascript'
 'javascript ui' 'mongodb' 'mysql' 'nodejs' 'nosql' 'oracle' 'oracle sql'
 'postgre' 'powershell' 'sql server' 'web server' 'web technologies'
 'written']",3
rishyaa digicorp,"['android' 'c' 'communication skills' 'database management' 'ios'
 'logical and analytical ability' 'programming language' 'time management']",1
rm technotree inc.,"['.net' 'java' 'microsoft visual studio' 'python' 'software development'
 'ui development' 'winforms' 'wpf']",1
rmsi,"['analytical' 'communication' 'css3' 'html5' 'kanban' 'react js' 'scrum'
 'web stacks']",1
rocket software,"['agile development' 'automation' 'computer science' 'equity'
 'information security' 'it skills' 'quality engineering' 'testing']",1
roopa soft llp,"['.net' 'analytical' 'business executive' 'communication'
 'computer science' 'information technology' 'it skills'
 'software associate' 'system testing' 'technical' 'test associate'
 'training']",3
"ryan, llc.","['adobe acrobat' 'associate analyst' 'coding' 'graphics' 'hibernate'
 'html' 'iis' 'javascript' 'json' 'manager quality assurance'
 'manager technology' 'microsoft' 'ms access' 'pdf' 'project management'
 'silverlight' 'taxation' 'web services' 'workflow' 'xml']",3
"saar developers code pvt ltd,","['analytical' 'asp net' 'c#' 'communication' 'jquery' 'mvc' 'net'
 'sql server' 'verbal' 'written']",2
sahasya global solutions,"['administration' 'configuration' 'customer service' 'development'
 'hibernate' 'information security' 'information technology' 'it'
 'it security' 'it services' 'linux' 'networking' 'object oriented design'
 'operating systems' 'pci - dss' 'pci dss' 'performance tuning'
 'product support' 'rest' 'server' 'soc' 'software' 'system programming'
 'technical' 'technical writing' 'testing' 'troubleshooting' 'vmware'
 'windows']",4
salesforce,"[list(['automation', 'manual testing', 'manager quality assurance', 'eclipse', 'javascript', 'performance testing', 'application development', 'scrum'])
 list(['automation framework', 'computer science', 'interpersonal skills', 'enterprise architecture', 'relationship building', 'salesforce.com', 'manager technology', 'software development life cycle'])
 list(['backend', 'software engineering- pmts/lmts', 'distribution system'])
 list(['c++', 'application support', 'j2ee', 'html', 'application development', 'mvc', 'troubleshooting', 'sdlc'])
 list(['claims', 'coding', 'xml', 'mysql', 'http', 'distribution system', 'monitoring', 'analytics'])
 list(['cloud computing', 'automation', 'product engineering', 'networking protocols', 'agile', 'troubleshooting', 'distribution system', 'crm'])
 list(['computer science', 'automation', 'git', 'performance testing', 'software development life cycle', 'selenium', 'continuous improvement', 'release management'])
 list(['computer science', 'automation', 'git', 'performance testing', 'software development life cycle', 'selenium', 'mts', 'release management'])
 list(['computer science', 'automation', 'networking', 'workflow', 'business intelligence', 'operations', 'analytics', 'monitoring'])
 list(['computer science', 'backend', 'testing tools', 'coding', 'selenium', 'business intelligence', 'troubleshooting', 'ruby'])
 list(['computer science', 'cloud computing', 'payroll', 'test strategy', 'data modeling', 'business analysis', 'test cases', 'sql'])
 list(['computer science', 'operational excellence', 'staffing', 'value engineering', 'agile', 'salesforce.com', 'manager technology', 'application development'])
 list(['computer science', 'product quality', 'front end', 'performance testing', 'javascript', 'php', 'application development', 'html'])
 list(['continuous integration', 'automation testing', 'functional testing', 'javascript', 'salesforce.com', 'mts', 'object oriented programming', 'crm'])
 list(['data analysis', 'xml', 'social media', 'http', 'json', 'ruby', 'virtualization', 'python'])
 list(['jquery', 'manager quality assurance', 'data modeling', 'coding', 'xml', 'javascript', 'technical staff', 'html'])
 list(['manager quality assurance', 'sales operations', 'mis', 'analytical', 'scheduling', 'operations', 'analytics', 'crm'])
 list(['maven', 'c++', 'automation', 'xml', 'agile', 'plsql', 'selenium', 'ruby'])
 list(['object oriented design', 'git', 'load testing', 'analytical', 'debugging', 'test scenarios', 'salesforce.com', 'visual studio'])
 list(['product management', 'computer science', 'automation framework', 'lead software', 'enterprise architecture', 'relationship building', 'performance testing', 'software development life cycle'])
 list(['product management', 'computer science', 'career development', 'coding', 'salesforce.com', 'cross functional coordination', 'scrum', 'scm'])
 list(['product management', 'computer science', 'content management', 'product engineering', 'cms', 'agile', 'scrum', 'unit testing'])
 list(['ui development', 'google analytics', 'javascript', 'html', 'application development', 'open source', 'release management', 'mts'])
 list(['unix', 'san', 'cloud computing', 'cvs', 'networking', 'gcp', 'python', 'recruitment'])]",24
samsdegorec,"['business intelligence' 'dsl' 'jira' 'microsoft' 'mobile testing' 'qtp'
 'selenium' 'test management']",1
sandsquare global solutions private limited,"['container oriented infrastructure' 'data structures' 'javascript'
 'kubernetes' 'polyglot' 'python' 'shell' 'terraform']",1
sap india pvt.ltd,"['cloud' 'it skills' 'javascript' 'learning management systems'
 'microsoft sql server' 'product management' 'saas technologies' 'testing']",1
sathguru management consultants pvt ltd.,"['android' 'django' 'flutter development' 'java' 'javascript frameworks'
 'jquery' 'jquery programming' 'mobile development' 'native android'
 'native android development' 'oop' 'postgresql' 'python' 'rest'
 'restful api' 'restful apis']",2
seanergy digital services pvt ltd,"['bit' 'comm' 'git' 'mobile development' 'sdlc' 'software development'
 'svn' 'web development']",1
secureworks,"['analytical skills' 'business intelligence' 'coding' 'data governance'
 'debugging' 'emc' 'excel' 'informatica' 'ms sql' 'scrum' 'ssas' 'tableau'
 'teradata' 'unix']",2
servicenow,"['agile' 'algorithms' 'analytical' 'angular' 'angularjs' 'big data' 'chef'
 'cloud' 'computer science' 'css' 'data structures' 'devops' 'docker'
 'eclipse' 'gcp' 'git' 'go' 'groovy' 'http' 'it skills' 'java'
 'javascript' 'junit' 'kubernetes' 'ldap' 'licensing' 'linux'
 'machine learning' 'middleware' 'mysql' 'object - oriented design'
 'object oriented design' 'oo' 'oop' 'performance tuning' 'puppet'
 'python' 'react' 'rest' 'selenium' 'shell' 'shell scripting' 'soap'
 'software development' 'software development life cycle' 'splunk'
 'testing' 'testng' 'ubuntu' 'unit testing' 'unix' 'vue analytical'
 'web services' 'workflow' 'written communication']",11
serviceporium software solutions private limited,"['analytical' 'automation testing' 'communication' 'it skills' 'java'
 'sql' 'test engineering' 'testing']",1
serving skill,"['application architecture' 'application integration'
 'applications implementation' 'engineering management'
 'solution architect' 'technical architect']",1
sgs technologie private ltd,['aws' 'it skills' 'java' 'javascript' 'jquery' 'mysql' 'networking' 'php'],1
shell info technologies private limited,"['.net' 'angular' 'c#' 'c# net' 'html' 'javascript' 'sql server'
 'sql server dba']",1
siddhartha consultancy services,"['appium' 'automation framework' 'c #' 'css' 'javascript' 'selenium'
 'test cases' 'visual studio']",1
siemens,"['aerospace' 'analytical' 'automation' 'chip design'
 'continuous improvement' 'data structures' 'front end'
 'object oriented design']",1
sify,"['cisco firewall' 'fortigate firewall' 'ips' 'juniper firewall'
 'network devices' 'network security' 'networking' 'palo alto networks']",1
silicon laboratories,"[list(['automation', 'linux', 'networking', 'eclipse', 'agile', 'workflow', 'perl', 'windows'])
 list(['embedded software', 'java', 'software development', 'project management', 'software engineering', 'c + +', 'software testing', 'devops'])
 list(['java', 'linux', 'software engineering', 'c + +', 'continuous integration', 'software quality', 'python'])
 list(['rtos', 'bluetooth', 'semiconductor', 'project management', 'mixed signal', 'agile', 'silicon', 'firmware'])
 list(['rtos', 'wireless', 'automation', 'sqa', 'linux', 'debugging', 'equity', 'perl'])
 list(['rtos', 'wireless', 'automation', 'sqa', 'linux', 'networking', 'perl', 'windows'])
 list(['rtos', 'wireless', 'bluetooth', 'semiconductor', 'assembly language', 'mixed signal', 'protocol stack', 'firmware'])]",9
siri websolutions,"['assembly language' 'c' 'communication' 'html' 'it skills' 'photoshop'
 'written' 'xml']",1
skillsoft,"['agile' 'agile scrum' 'automation' 'cassandra' 'cobol' 'coding' 'cognos'
 'computer science' 'database' 'debugging' 'django'
 'enterprise applications' 'front end' 'git' 'hp data protector' 'hr'
 'html' 'j2ee' 'javascript' 'json' 'jsp' 'leadership development' 'linux'
 'manager technology' 'microsoft' 'mongodb' 'ms sql' 'networking'
 'performance tuning' 'postgresql' 'product management' 'programming'
 'project management' 'selenium' 'shell scripting' 'software design'
 'sql server development' 'ssrs' 'system architecture'
 'talent development' 'tomcat' 'unix' 'wcf' 'weblogic' 'workflow' 'xml']",9
skillsoft software services india pvt ltd,"['cloud' 'devops' 'it skills' 'node.js' 'react.js' 'reactjs' 'redux'
 'software engineering']",1
skyroot aerospace,['bare metal' 'c' 'free rtos' 'rtos' 'soc' 'tcp / ip' 'vhdl' 'xilinx'],1
skyspecs,"['asset management' 'backend' 'computer science' 'data collection' 'html'
 'renewable energy' 'troubleshooting' 'turbine']",1
smartconnect technologies pvt ltd,"['agile methodologies' 'asp net' 'c#' 'rdlc' 'scrum' 'sql server'
 'waterfall' 'web api']",1
snaphunt,"['administration management' 'communication' 'django' 'gitlab ci / cd'
 'it skills' 'lan' 'netconf' 'network automation' 'postgresql' 'python'
 'routing' 'software development' 'strategy consulting' 'vlan' 'vtp'
 'vue js']",2
spes manning solutions llp,"['j2' 'j2ee' 'java' 'java developer' 'software development' 'spring boot'
 'sql' 'tomcat']",1
spinebiz services private limited,"['dwr' 'hibernate' 'java' 'javascript' 'jquery' 'jsp' 'oracle database'
 'spring']",2
spinsci technologies private limited,"['html 5' 'javascript' 'jquery' 'node.js' 'react js' 'react.js' 'webpack'
 'xml']",1
spot in job consultancy,"['analytical' 'consultancy' 'html' 'information technology' 'scheduling'
 'staffing' 'unix' 'windows']",1
srinivasa farms private limited,"['accounting domain' 'business process' 'design and implementation'
 'enterprise architecture' 'erp system' 'it business analyst' 'openbravo'
 'program management' 'project management' 'requirement analysis'
 'software development' 'software implementation' 'system architecture'
 'technical design' 'testing and analysis' 'user acceptance testing']",2
stafford global,"['entity framework' 'iis' 'jquery' 'performance testing'
 'regression testing' 'system integration' 'visual studio'
 'web development']",1
starworth global solutions,"['analytical' 'c++' 'java' 'program development' 'programming'
 'software development' 'software engineering' 'software testing']",1
statestreet global advisor pvt ltd,"['agile' 'automation' 'computer science' 'customer support'
 'data structures' 'front end' 'html' 'javascript' 'rdbms' 'scrum'
 'team leader' 'troubleshooting' 'wealth management']",4
stefanini,"['application packaging' 'automation' 'bpo' 'change management'
 'consulting' 'customer service' 'french' 'itsm' 'php'
 'service desk management' 'service management' 'system maintenance'
 'troubleshooting' 'unit testing' 'windows' 'xml']",2
stigentech it services private limited,"['angularjs' 'appium' 'communication' 'html' 'java' 'node.js' 'selenium'
 'software testing']",1
stigentech it services pvt ltd,"['black box testing' 'it services' 'jira' 'open source'
 'performance testing' 'selenium' 'test cases' 'testing tools']",1
strategic technology resources international private limited,"['c++' 'c++ programming' 'design patterns' 'linux' 'multithreading' 'ood'
 'solaries' 'weblogic']",1
sts,"['aws' 'bgp' 'c++' 'linux' 'memory management' 'multithreading'
 'network protocols' 'physical layer']",1
study shine overseas,"['backend api' 'java' 'mobile application testing' 'python'
 'restful web api development']",1
sutherland global services inc,"['application development' 'automation' 'coding' 'communication skills'
 'healthcare' 'hr' 'it services' 'it skills' 'java' 'jquery'
 'manager technology' 'manual testing' 'mysql' 'process improvement'
 'service quality' 'software development' 'talent acquisition'
 'technical support' 'testing' 'written communication' 'xml']",5
swathi business,"['advanced java' 'analytical' 'billing' 'business solutions'
 'communication' 'consulting' 'inter' 'intra' 'it skills' 'java'
 'java script' 'javascript' 'jdbc' 'php' 'sap' 'sap po' 'sms'
 'system integration']",3
swiggy,"['agile' 'coding' 'computer science' 'data modeling' 'data structures'
 'linux' 'supply chain management' 'unix']",1
synchronomy,"['agile' 'application development' 'business process'
 'business process management' 'eclipse' 'filenet' 'hibernate' 'hrm'
 'html' 'javascript' 'jquery' 'pdf' 'rdbms' 'solution design' 'struts'
 'technical leadership']",2
syncron international ab,"['apis' 'aws codecommit' 'communication' 'hibernate' 'integration' 'jpa'
 'junit' 'maven' 'mysql' 'object oriented design' 'rdbms'
 'service management' 'spring boot' 'wellness']",2
syncron software india private limited,"['aws' 'cloud' 'fullstack development' 'golang' 'it skills' 'java'
 'microservices']",1
syniverse technologies services india pvt. ltd.,['ajax' 'angular' 'css' 'grails' 'j2ee' 'java' 'python' 'spring boot'],1
synopsys,"['debugging' 'design patterns' 'git' 'github' 'jenkins' 'perl automation'
 'python' 'software engineering']",1
t & a solutions,"['coding' 'debugging' 'gis' 'html' 'ieee' 'integration testing'
 'javascript' 'jquery' 'json' 'linux' 'matlab' 'oracle' 'perl' 'php'
 'project management' 'sdk' 'software quality' 'system testing'
 'visual studio' 'web designing' 'windows' 'xilinx' 'xml']",3
ta digital,"[list(['java', 'jsp', 'hybris', 'communication', 'jstl', 'endeca', 'ajax', 'jquery'])
 list(['magento', 'php', 'object oriented programming', 'analytical', 'database architecture', 'design patterns', 'linux', 'mysql'])
 list(['osgi', 'aem', 'sling', 'it skills', 'java', 'j2ee', 'javascript'])]",3
talentify,"['any other software skills' 'b.tech' 'bca' 'computer science'
 'engineering' 'engineering projects' 'mca']",1
talodyn networks private limited,"['c' 'c programming' 'c programming language' 'l2 / l3 protocol' 'linux'
 'linux driver' 'networking' 'tcp ip networking']",1
tata elxsi,"['automotive' 'civil' 'development testing' 'engineering services' 'lca'
 'product engineering' 'sensors' 'side']",1
tcs,"['android' 'c' 'codec' 'embedded systems' 'gstreamer' 'linux' 'multimdeia'
 'qnx']",1
teamf1 networks (p) ltd.,"['btech' 'business executive' 'c' 'c++' 'data structures' 'debugging'
 'embedded software' 'network security' 'networking' 'ppc' 'programming'
 'rtos' 'software' 'wireless']",2
teamplus staffing solution pvt ltd,"['analytics' 'computer science' 'healthcare' 'information technology'
 'product engineering' 'system architecture' 'system integration' 'xml']",1
teamware solutions ( a division of quantum leap co     nsulting private ltd).,['c programming language' 'linux' 'powershell' 'python'],1
tecforce,"['automation' 'computer science' 'it skills' 'java' 'product engineering'
 'selenium' 'software development' 'testing']",1
tech dimensions solutions pvt ltd,"['angularjs' 'asp.net' 'computer science' 'data structures' 'dbms' 'html'
 'it skills' 'javascript' 'jquery' 'microsoft azure' 'software associate'
 'software development manager']",2
tech mahindra,"[list(['c', 'dsp', 'matlab', 'lte', 'it skills', 'testing', '5g', '4g'])
 list(['data science', 'java script', 'pyspark', 'python'])
 list(['scala', 'microservices', 'restful web api development', 'cassandra', 'kafka', 'elastic search', 'rest', 'sql'])
 list(['scala', 'spark', 'python', 'hdfs', 'hadoop', 'hive', 'sql databases', 'information retrieval'])
 list(['udp', 'tcp / ip', 'it skills', 'testing', 'tcp', 'pdcp', 'field testing', 'rlc'])
 list(['yarn', 'spark', 'hdfs', 'java', 'nosql', 'hive', 'python', 'hadoop'])]",6
tech mahindra ltd.,"['.net' 'c#' 'front end' 'it skills' 'javascript' 'react js'
 'software development' 'software engineering']",1
tech ringers,"['apache commons suite' 'aws sdk' 'debugging' 'dhcp' 'ftp' 'j2ee'
 'java ee' 'jenkins' 'json' 'php' 'rest' 'smtp' 'verbal' 'web services'
 'written']",2
tech vedika,"['cassandra' 'debugging' 'nodejs' 'oops' 'restful' 'services' 'soap'
 'written communication']",1
techdimension it solutions,"[list(['algorithms', 'oops', 'dbms', 'data structures', 'it skills', 'software development', 'computer science', 'development'])
 list(['it skills', 'software development', 'computer science', 'development', 'software', 'it'])]",2
technogen,['aws' 'python' 'spark'],2
techo2 india private limited,"['angular' 'design patterns' 'express js' 'firebase' 'mean stack'
 'mern stack' 'mongodb' 'node js']",1
telebu communications,['coding' 'html' 'javascript' 'jquery' 'linux' 'mysql' 'sms' 'windows'],2
telstra,"['active directory' 'agile' 'ajax' 'analytical' 'ansible' 'automation'
 'blueprism' 'coding' 'communication' 'debugging' 'flex' 'front end'
 'html' 'it services' 'javascript' 'jms' 'jquery' 'jsp' 'ms sql' 'rpa'
 'shell' 'sql' 'xml']",3
temenos,"['application support' 'customer support' 'html' 'j2ee' 'javascript'
 'jboss' 'jsp' 'rdbms' 'struts' 'troubleshooting' 'wealth management'
 'web development' 'websphere' 'windows' 'xml']",4
tetrasoft india pvt. ltd.,['fresher' 'informatica' 'mca' 'sql'],1
thomson reuters,"['ado.net' 'agile' 'agile scrum' 'amazon ec2' 'analytical'
 'application development' 'architecture' 'asp.net' 'automation'
 'automation testing' 'aws' 'backend' 'bpo' 'business process' 'c++'
 'cloud' 'coding' 'compliance' 'computer science' 'data management'
 'data modeling' 'data processing' 'data structures' 'database design'
 'debugging' 'developer' 'diagnostics' 'diversity and inclusion'
 'entity framework' 'front end' 'git' 'github' 'hibernate' 'html' 'http'
 'integration testing' 'j2ee' 'javascript' 'json' 'lead software' 'legal'
 'legal research' 'linux' 'manager quality assurance' 'maven' 'mfc'
 'ms sql' 'mysql' 'networking' 'nosql' 'object oriented design' 'ooad'
 'oracle' 'performance testing' 'php' 'plsql' 'postgresql'
 'process improvement' 'product design' 'product engineering'
 'product management' 'project planning' 'qa' 'query optimization'
 'remediation' 'root cause analysis' 'scala' 'scalability' 'scrum'
 'selenium' 'shell scripting' 'software development methodologies'
 'software qa' 'spring boot' 'stored procedures' 'taxation' 'tdd'
 'technical support' 'test cases' 'test driven development' 'test scripts'
 'troubleshooting' 'unit testing' 'unix' 'version control' 'visual studio'
 'vulnerability' 'web development' 'web services' 'web technologies'
 'westlaw' 'windows' 'workflow' 'xml']",35
tide platform technology  servicing private limit ed,['appium' 'it skills' 'mobile automation' 'software development'],1
tm inputs & services pvt. ltd.,"['full stack development' 'j2ee' 'j2ee development' 'java' 'java database'
 'mysql' 'sql']",1
tmeic industrial systems india pvt ltd,"['.net' 'c#' 'data base' 'design patterns' 'html' 'monitering'
 'software engineer' 'wpf']",1
toppr,"['application development' 'computer science' 'ios developer' 'ios sdk'
 'ios ui' 'restful apis' 'troubleshooting skills' 'ui design']",1
trust logic,"['agile' 'computer science' 'front end' 'javascript' 'json' 'mysql'
 'networking' 'php']",1
ttec,"['coding' 'computer science' 'debugging' 'edi' 'oracle soa' 'san' 'sms'
 'xml']",1
turvo,['agile' 'arm' 'coding' 'debugging' 'it skills' 'logistics' 'qa' 'testing'],1
