Company_Name,Skills they are looking for,Number of positions
apexon,"['aws' 'azure devops' 'cloud' 'html' 'it skills' 'java'
 'software development' 'testing']",1
apicalgo consultancy,"['analytical' 'and problem-solving skills' 'engineering management'
 'kafka' 'mysql' 'postgresql' 'project management' 'rdbms']",1
appfire,"['aws' 'cloud' 'devops' 'it skills' 'javascript' 'jenkins' 'jquery'
 'software development']",1
appit ventures india pvt ltd,"['communication' 'computer science' 'information technology' 'it fresher'
 'it skills' 'software engineering' 'software testing' 'technical skills']",1
appstek corp,"['agile' 'api' 'application development' 'backend' 'coding'
 'computer science' 'front end' 'html' 'oracle' 'pdf' 'scrum'
 'software design' 'technology consulting' 'unit testing'
 'web - development' 'web development']",2
arcesium india private limited,"['active directory' 'adfs' 'algorithms' 'analytical' 'aws' 'c++' 'cd' 'ci'
 'cloud' 'communication' 'communication skills' 'debugging'
 'exchange online' 'information technology' 'it skills' 'java' 'jira'
 'kanban' 'linux' 'networking' 'object - oriented language ( s'
 'office 365' 'open source' 'powershell' 'python' 'rc' 'scrum' 'sdlc'
 'windows']",4
artech infosystems pvt. ltd.,['hadoop' 'java' 'sql' 'tableau'],1
aspire systems,"['agile' 'angular' 'asp net' 'asp net mvc' 'asp.net' 'asp.net mvc'
 'javascript' 'js' 'mvc framework' 'net core' 'net core development'
 'react' 'verbal' 'web api' 'web services']",2
at and t global business services india p. ltd.,"['analytical' 'big data' 'ceh' 'computer science' 'devops engineer'
 'firewall' 'incident management' 'infrastructure' 'java' 'jdbc' 'jms'
 'lan' 'manager technology' 'nessus' 'network monitoring'
 'network security' 'oracle service bus' 'oracle soa' 'product management'
 'sales operations' 'scheduling' 'siem' 'splunk' 'troubleshooting'
 'vmware' 'wan' 'weblogic' 'wifi' 'windows' 'xml']",4
atharvana infotech pvt ltd,"['application programming' 'html' 'iis' 'jquery' 'linq'
 'software engineer freshers' 'ssrs' 'xml']",1
"atmecs technologies pvt., ltd.","['angular' 'jmeter' 'kotlin' 'node js' 'object - oriented programming'
 'sdlc' 'selenium' 'vuejs']",1
audax labs,"['ar sdk' 'arcore' 'arfoundation' 'arkit'
 'c# object - oriented programming' 'git' 'ux' 'vuforia']",1
autorabit software private limited,['angular' 'css' 'html' 'java' 'javascript' 'spring boot'],1
aviation indeed,"['azure' 'c#' 'communication' 'css' 'devops' 'jquery'
 'web application development' 'webapi']",1
awaaz de infosystems private limited,"['communications' 'flask' 'laravel' 'node' 'powerpoint' 'rest api' 'saas'
 'written']",1
ba continuum,"['agile' 'application development' 'application support'
 'asset management' 'business intelligence' 'change management' 'cics'
 'cobol' 'configuration management' 'db2' 'eclipse' 'jcl' 'maven'
 'production support' 'prototype' 'python' 'risk management'
 'software engineer ii' 'sql' 'ssis' 'teradata' 'unix' 'visual studio'
 'windows']",4
becton dickinson india pvt ltd,"['agile' 'agile methodology' 'analytical' 'analytical skills'
 'application design' 'application development' 'application programming'
 'architectural design' 'architecture' 'asp.net' 'automation'
 'automation framework' 'automation testing' 'automation tools' 'c++'
 'coding' 'data structures' 'database' 'debugging' 'functional testing'
 'git' 'healthcare' 'html' 'html5' 'http' 'iis' 'javascript' 'management'
 'manager quality assurance' 'manager technology' 'manual testing' 'mfc'
 'microsoft' 'ms sql' 'mvc' 'performance testing' 'product management'
 'rdbms' 'scrum' 'selenium' 'side' 'software architecture'
 'software quality' 'stored procedures' 'system design' 't-sql'
 'test cases' 'test scenarios' 'testing tools' 'troubleshooting'
 'unit testing' 'version control' 'visual studio' 'wcf'
 'white box testing' 'windows' 'winforms' 'wpf' 'xml']",18
